Aug	Sunrise	Sunset	Length	Difference	Start	End	Start	End	Start	End	Time	Mil. km
19	6:30 am ? (70°)	8:28 pm ? (289°)	13:57:51	-2:56	4:35 am	10:23 pm	5:18 am	9:40 pm	5:58 am	9:00 pm	1:30 pm (56.8°)	151.403
20	6:32 am ? (71°)	8:27 pm ? (289°)	13:54:53	-2:57	4:37 am	10:21 pm	5:20 am	9:38 pm	5:59 am	8:58 pm	1:29 pm (56.4°)	151.374
21	6:33 am ? (71°)	8:25 pm ? (288°)	13:51:54	-2:58	4:39 am	10:18 pm	5:22 am	9:36 pm	6:01 am	8:57 pm	1:29 pm (56.1°)	151.345
22	6:34 am ? (72°)	8:23 pm ? (288°)	13:48:55	-2:59	4:41 am	10:16 pm	5:23 am	9:34 pm	6:02 am	8:55 pm	1:29 pm (55.8°)	151.315
23	6:35 am ? (72°)	8:21 pm ? (287°)	13:45:54	-3:00	4:42 am	10:14 pm	5:25 am	9:32 pm	6:04 am	8:53 pm	1:29 pm (55.4°)	151.285
24	6:37 am ? (73°)	8:19 pm ? (287°)	13:42:53	-3:01	4:44 am	10:11 pm	5:26 am	9:29 pm	6:05 am	8:51 pm	1:28 pm (55.1°)	151.254
25	6:38 am ? (73°)	8:18 pm ? (286°)	13:39:51	-3:02	4:46 am	10:09 pm	5:28 am	9:27 pm	6:06 am	8:49 pm	1:28 pm (54.7°)	151.223
26	6:39 am ? (74°)	8:16 pm ? (286°)	13:36:48	-3:03	4:48 am	10:06 pm	5:29 am	9:25 pm	6:08 am	8:47 pm	1:28 pm (54.4°)	151.191
27	6:40 am ? (75°)	8:14 pm ? (285°)	13:33:44	-3:03	4:50 am	10:04 pm	5:31 am	9:23 pm	6:09 am	8:45 pm	1:28 pm (54.0°)	151.159
28	6:42 am ? (75°)	8:12 pm ? (285°)	13:30:39	-3:04	4:51 am	10:02 pm	5:32 am	9:21 pm	6:10 am	8:43 pm	1:27 pm (53.7°)	151.126
29	6:43 am ? (76°)	8:10 pm ? (284°)	13:27:34	-3:05	4:53 am	9:59 pm	5:34 am	9:19 pm	6:12 am	8:41 pm	1:27 pm (53.3°)	151.092
30	6:44 am ? (76°)	8:09 pm ? (284°)	13:24:28	-3:05	4:55 am	9:57 pm	5:35 am	9:17 pm	6:13 am	8:40 pm	1:27 pm (53.0°)	151.057
31	6:45 am ? (77°)	8:07 pm ? (283°)	13:21:22	-3:06	4:57 am	9:55 pm	5:37 am	9:15 pm	6:14 am	8:38 pm	1:26 pm (52.6°)	151.022
